dataFrom,date,review,rating,extracted_devresp,devresp_time
googlePlay,20230625T101820814Z,Unable to open the app once Ive installed,1,Hi Faith this is not the experience we would like you to have and we would like to take a closer look at this Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it Thank you,20230626T023233511Z
googlePlay,20230625T041210585Z,Download the app and tried to apply Got an error message page cannot download and cannot login at all Uninstall the app within 5 mins of trying Dont bother I got better choices elsewhere,1,Hi Andrei  we are sorry for this experience We love to sort this out for you Kindly drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it Thank you,20230626T022924396Z
googlePlay,20230622T132157709Z,What is the purpose of your app Why would I use your app over DBS uob and ocbc I dont see why you are better in any way,1,Hi Norman Thanks for your feedback At GXS we are a digital bank on a mission to make banking better for Singapores everyday consumers and small businesses Currently we offer our Savings and FlexiLoan account However we are progressively rolling out new products and adding more features to our app to make your experience better,20230622T141446770Z
googlePlay,20230622T045521995Z,Great,5,Hey David Thank you for your 5 stars review We work hard to meet expectations like yours and were happy to hear we hit the mark for you,20230622T053842505Z
googlePlay,20230616T101739727Z,First time checking out on dis and didnt know grab came with this and enhanced features was super accessible indeed within mins i was ableto withdraw eloan even though e security was quite super securable which i likedthank u for making things affordable and reachable for difficult times for mummies,5,Hi there Eliya We are thrilled to know that you find our app easy to access and secure  Our goal is to provide affordable and accessible financial solutions to our customers especially during difficult times ,20230616T111848668Z
googlePlay,20230615T021748604Z,The app homepage have no setting or other function for me to update or assign,3,"Hi Rez Thank you for your feedback You can select the Me option at the bottom right of your app and select Edit Profile This will allow you to update your preferred name email mobile number and also your mailing address We are continuously working on adding more features to our app to make your experience better Have a great day
",20230615T033047881Z
googlePlay,20230607T083726944Z,Cant log in and app crash,1,Hi this is not the experience we would like you to have and we would like to take a closer look at this Could you drop us an email at helpgxscomsg with your contact info device model and a screen recording of your issue so we can look into it,20230607T085857512Z
googlePlay,20230605T150311626Z,Easy to use Hopefully can raise the deposit cap soon,5,Hey there Thank you for your 5 stars review  Were glad to be part of your savings journey and cant wait for the day when we can help you save more with us too ,20230606T005632951Z
googlePlay,20230605T110558446Z,Great experience so far,5,Thank you for your kind words CH Lee  We work hard to meet expectations like yours and were happy to hear we hit the mark for you We hope that you always enjoy your amazing journey with us Have an awesome week ,20230605T122223535Z
googlePlay,20230605T110001194Z,Easy and simple to use for transfer money High interest rate,5,Hey Bee Khim Thank you for your positive and awesome feedback Were excited that you enjoyed our userfriendly app interface and its straightforward money transfer features Great to also hear that you like our high deposit interest rate Were always working hard to improve our product and services to meet expectations like yours,20230605T124919718Z
googlePlay,20230605T103144256Z,The deposit interest is very high which is currently my most satisfactory,5,Hi Sze Hui Thank you for your five stars review We appreciate that you like our high deposit interest Were always working hard to improve our product and services Please keep your feedback coming ,20230605T121456751Z
googlePlay,20230605T100705681Z,Invitation fr Singtel Trying my luck first and it was a very fast approval on a Sunday Love the fact that we can take any amount fr our credit limit,5,Hi Reese Ismail Thank you for your five stars review We are thrilled to know that you like our fast approval and flexible drawdown option for our FlexiLoan We work hard to meet expectations like yours and were happy to hear we hit the mark for you,20230605T103024630Z
googlePlay,20230605T100256150Z,User friendly,5,Hey Siti Fatimah Thank you for your awesome review  We aim to make our app user interface seamless and user friendly to give a pleasant customer experience every time Keep using our app and please keep your feedback coming ,20230605T104636385Z
googlePlay,20230605T095745393Z,Easy to use and fast,5,"Thank you for your wonderful review Trevor Its great to know that you enjoy our userfriendly and fast user interface of our app Thanks for your feedback Were always working hard to improve the app for you 
",20230605T114240511Z
googlePlay,20230605T095150946Z,Easy to use Fast transfer,5,Thank you for your five stars review Hamzah  Were happy that you like our simple easypeasy user interface of our app and also our Fast transfer Keep using our app We value your feedback and have an awesome week ahead ,20230605T115613740Z
